2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Search.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Settings.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/This_Month.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/TV_Shows.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Upcoming.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Year.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/pftvso.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/pftvso.pyo: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.1.rar: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.1.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.2.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.3.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.4.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.5.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/resources/settings.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/default.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/LICENSE.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/plugin.video.traktus-0.0.1~alpha1.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/resources/settings.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/default.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/LICENSE.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.0.1.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.0.2.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.0.21.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.0.22.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.0.3.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.0.30.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.0.31.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.1.0.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.1.1.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.1.2.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.1.3.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/plugin.video.ytchannels-0.1.4.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/resources/settings.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/repository.kodi-czsk/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/repository.kodi-czsk/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/repository.kodi-czsk/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/repository.kodi-czsk/LICENSE.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/repository.kodi-czsk/repository.kodi-czsk-1.0.2.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/repository.natko1412/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/repository.natko1412/repository.natko1412-1.0.0.zip: Conflict: New files that differ
2015-08-14 12:16:55: Analyze has finished with Conflicts. Resolve Conflicts by selecting the correct sync direction, then click Sync
2015-08-14 12:16:55: Changes: 189, Conflicts: 189, CopyTime: 0, CopyState: 0/0, Errors: 0, All: 462
2015-08-14 12:16:55: -- Analysis Complete. Time 00:00:08, Speed: 57 files/s
2015-08-14 12:16:55: 
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/addon.xml
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/changelog.txt
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/commondownloader.py
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/commondownloader.pyo
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/default.py
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/fanart.jpg
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/icon.png
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/LICENSE.txt
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/plugin.video.nbafullgames-2.0.zip
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/media/nba_date.jpg
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/media/nba_full_games.jpg
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/media/nba_games.jpg
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/media/nba_month.jpg
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/media/nba_nbacom.jpg
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/media/nba_next.jpg
2015-08-14 12:17:26: === User Changed Action from 'CONFLICT' to 'COPY_LEFT_TO_RIGHT' on item /plugin.video.nbafullgames/resources/media/nba_other.jpg
